timestamp,multiplier
2026-04-22 07:40:54.963425,1.03
2026-04-22 07:40:54.963425,3.4
2026-04-22 07:40:54.963425,4.19
2026-04-22 07:40:54.963425,1.07
2026-04-22 07:40:54.963425,1.2
2026-04-22 07:40:54.963425,1.05
2026-04-22 07:40:54.963425,1.11
2026-04-22 07:40:54.963425,1.89
2026-04-22 07:40:54.963425,1.84
2026-04-22 07:40:54.963425,1.9
2026-04-22 07:40:54.963425,1.36
2026-04-22 07:40:54.963425,2.73
2026-04-22 07:40:54.963425,4.49
2026-04-22 07:40:54.963425,4.83
2026-04-22 07:40:54.963425,1.17
2026-04-22 07:40:54.963425,1.87
2026-04-22 07:40:54.963425,2.43
2026-04-22 07:40:54.963425,5.01
2026-04-22 07:40:54.963425,6.33
2026-04-22 07:40:54.963425,1.24
2026-04-22 07:40:54.963425,1.22
2026-04-22 07:40:54.963425,2.07
2026-04-22 07:40:54.963425,7.87
2026-04-22 07:40:54.963425,1.0
2026-04-22 07:40:54.963425,2.18
2026-04-22 07:40:54.963425,1.03
2026-04-22 07:40:54.963425,3.4
2026-04-22 07:40:54.963425,4.19
2026-04-22 07:40:54.963425,1.07
2026-04-22 07:40:54.963425,1.2
2026-04-22 07:40:54.963425,1.05
2026-04-22 07:40:54.963425,1.11
2026-04-22 07:40:54.963425,1.89
2026-04-22 07:40:54.963425,1.84
2026-04-22 07:40:54.963425,1.9
2026-04-22 07:40:54.963425,1.36
2026-04-22 07:40:54.963425,2.73
2026-04-22 07:40:54.963425,4.49
2026-04-22 07:40:54.963425,4.83
2026-04-22 07:40:54.963425,1.17
2026-04-22 07:40:54.963425,1.87
2026-04-22 07:40:54.963425,2.43
2026-04-22 07:40:54.963425,5.01
2026-04-22 07:40:54.963425,6.33
2026-04-22 07:40:54.963425,1.24
2026-04-22 07:40:54.963425,1.22
2026-04-22 07:40:54.963425,2.07
2026-04-22 07:40:54.963425,7.87
2026-04-22 07:40:54.963425,1.0
2026-04-22 07:40:54.963425,2.18
2026-04-22 07:41:25.211656,60.24
2026-04-22 07:41:25.211656,1.03
2026-04-22 07:41:25.211656,3.4
2026-04-22 07:41:25.211656,4.19
2026-04-22 07:41:25.211656,1.07
2026-04-22 07:41:25.211656,1.2
2026-04-22 07:41:25.211656,1.05
2026-04-22 07:41:25.211656,1.11
2026-04-22 07:41:25.211656,1.89
2026-04-22 07:41:25.211656,1.84
2026-04-22 07:41:25.211656,1.9
2026-04-22 07:41:25.211656,1.36
2026-04-22 07:41:25.211656,2.73
2026-04-22 07:41:25.211656,4.49
2026-04-22 07:41:25.211656,4.83
2026-04-22 07:41:25.211656,1.17
2026-04-22 07:41:25.211656,1.87
2026-04-22 07:41:25.211656,2.43
2026-04-22 07:41:25.211656,5.01
2026-04-22 07:41:25.211656,6.33
2026-04-22 07:41:25.211656,1.24
2026-04-22 07:41:25.211656,1.22
2026-04-22 07:41:25.211656,2.07
2026-04-22 07:41:25.211656,7.87
2026-04-22 07:41:25.211656,1.0
2026-04-22 07:41:25.211656,60.24
2026-04-22 07:41:25.211656,1.03
2026-04-22 07:41:25.211656,3.4
2026-04-22 07:41:25.211656,4.19
2026-04-22 07:41:25.211656,1.07
2026-04-22 07:41:25.211656,1.2
2026-04-22 07:41:25.211656,1.05
2026-04-22 07:41:25.211656,1.11
2026-04-22 07:41:25.211656,1.89
2026-04-22 07:41:25.211656,1.84
2026-04-22 07:41:25.211656,1.9
2026-04-22 07:41:25.211656,1.36
2026-04-22 07:41:25.211656,2.73
2026-04-22 07:41:25.211656,4.49
2026-04-22 07:41:25.211656,4.83
2026-04-22 07:41:25.211656,1.17
2026-04-22 07:41:25.211656,1.87
2026-04-22 07:41:25.211656,2.43
2026-04-22 07:41:25.211656,5.01
2026-04-22 07:41:25.211656,6.33
2026-04-22 07:41:25.211656,1.24
2026-04-22 07:41:25.211656,1.22
2026-04-22 07:41:25.211656,2.07
2026-04-22 07:41:25.211656,7.87
2026-04-22 07:41:25.211656,1.0
2026-04-22 07:42:02.074603,2.42
2026-04-22 07:42:02.074603,4.05
2026-04-22 07:42:02.074603,60.24
2026-04-22 07:42:02.074603,1.03
2026-04-22 07:42:02.074603,3.4
2026-04-22 07:42:02.074603,4.19
2026-04-22 07:42:02.074603,1.07
2026-04-22 07:42:02.074603,1.2
2026-04-22 07:42:02.074603,1.05
2026-04-22 07:42:02.074603,1.11
2026-04-22 07:42:02.074603,1.89
2026-04-22 07:42:02.074603,1.84
2026-04-22 07:42:02.074603,1.9
2026-04-22 07:42:02.074603,1.36
2026-04-22 07:42:02.074603,2.73
2026-04-22 07:42:02.074603,4.49
2026-04-22 07:42:02.074603,4.83
2026-04-22 07:42:02.074603,1.17
2026-04-22 07:42:02.074603,1.87
2026-04-22 07:42:02.074603,2.43
2026-04-22 07:42:02.074603,5.01
2026-04-22 07:42:02.074603,6.33
2026-04-22 07:42:02.074603,1.24
2026-04-22 07:42:02.074603,1.22
2026-04-22 07:42:02.074603,2.07
2026-04-22 07:42:02.074603,7.87
2026-04-22 07:42:02.074603,2.42
2026-04-22 07:42:02.074603,4.05
2026-04-22 07:42:02.074603,60.24
2026-04-22 07:42:02.074603,1.03
2026-04-22 07:42:02.074603,3.4
2026-04-22 07:42:02.074603,4.19
2026-04-22 07:42:02.074603,1.07
2026-04-22 07:42:02.074603,1.2
2026-04-22 07:42:02.074603,1.05
2026-04-22 07:42:02.074603,1.11
2026-04-22 07:42:02.074603,1.89
2026-04-22 07:42:02.074603,1.84
2026-04-22 07:42:02.074603,1.9
2026-04-22 07:42:02.074603,1.36
2026-04-22 07:42:02.074603,2.73
2026-04-22 07:42:02.074603,4.49
2026-04-22 07:42:02.074603,4.83
2026-04-22 07:42:02.074603,1.17
2026-04-22 07:42:02.074603,1.87
2026-04-22 07:42:02.074603,2.43
2026-04-22 07:42:02.074603,5.01
2026-04-22 07:42:02.074603,6.33
2026-04-22 07:42:02.074603,1.24
2026-04-22 07:42:02.074603,1.22
2026-04-22 07:42:02.074603,2.07
2026-04-22 07:42:02.074603,7.87
2026-04-22 07:42:31.232617,2.2
2026-04-22 07:42:31.232617,2.42
2026-04-22 07:42:31.232617,4.05
2026-04-22 07:42:31.232617,60.24
2026-04-22 07:42:31.232617,1.03
2026-04-22 07:42:31.232617,3.4
2026-04-22 07:42:31.232617,4.19
2026-04-22 07:42:31.232617,1.07
2026-04-22 07:42:31.232617,1.2
2026-04-22 07:42:31.232617,1.05
2026-04-22 07:42:31.232617,1.11
2026-04-22 07:42:31.232617,1.89
2026-04-22 07:42:31.232617,1.84
2026-04-22 07:42:31.232617,1.9
2026-04-22 07:42:31.232617,1.36
2026-04-22 07:42:31.232617,2.73
2026-04-22 07:42:31.232617,4.49
2026-04-22 07:42:31.232617,4.83
2026-04-22 07:42:31.232617,1.17
2026-04-22 07:42:31.232617,1.87
2026-04-22 07:42:31.232617,2.43
2026-04-22 07:42:31.232617,5.01
2026-04-22 07:42:31.232617,6.33
2026-04-22 07:42:31.232617,1.24
2026-04-22 07:42:31.232617,1.22
2026-04-22 07:42:31.232617,2.07
2026-04-22 07:42:31.232617,2.2
2026-04-22 07:42:31.232617,2.42
2026-04-22 07:42:31.232617,4.05
2026-04-22 07:42:31.232617,60.24
2026-04-22 07:42:31.232617,1.03
2026-04-22 07:42:31.232617,3.4
2026-04-22 07:42:31.232617,4.19
2026-04-22 07:42:31.232617,1.07
2026-04-22 07:42:31.232617,1.2
2026-04-22 07:42:31.232617,1.05
2026-04-22 07:42:31.232617,1.11
2026-04-22 07:42:31.232617,1.89
2026-04-22 07:42:31.232617,1.84
2026-04-22 07:42:31.232617,1.9
2026-04-22 07:42:31.232617,1.36
2026-04-22 07:42:31.232617,2.73
2026-04-22 07:42:31.232617,4.49
2026-04-22 07:42:31.232617,4.83
2026-04-22 07:42:31.232617,1.17
2026-04-22 07:42:31.232617,1.87
2026-04-22 07:42:31.232617,2.43
2026-04-22 07:42:31.232617,5.01
2026-04-22 07:42:31.232617,6.33
2026-04-22 07:42:31.232617,1.24
2026-04-22 07:42:31.232617,1.22
2026-04-22 07:42:31.232617,2.07
